Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
X3096.PBK.0026	0	0.004796328072578935	0.004182804423166875	0.027885895406597448	0	0.12559309566716104	0	0.005945109927768853	0.032961645546142636	0	0	0.031265555656849804	0.023125186172752	0	0.0052348358650660815	0.19727922983833263	0.09930438671893196	0	0.4424259267046517	0	0	0	0	0.5005364197693188	0.86626439341032
X3096.PBK.0027	0	0	0.011362902069076392	0.036925717646341456	0	0.041594280388926146	0	0.027422554505660397	0	0	0.018908551627743877	0.06715849189348745	0.039117520965268014	0	0.013489627057017393	0.3866841943905794	0	0.0010875175791829866	0.35624864187671657	0	0	0	0.034	0.18741525423743396	1.0323213970622362
X3096.PBK.0028	0	0.009819229839933602	0.006962315310671448	0.03197298510914366	0	0.2099706663098645	0	0.011960122734320119	0.0049903126485867895	0	0	0.0544822867580519	0.032128618731165653	0	0.009282874609275757	0.0876843774025505	0.33864582901288187	0	0.2021003815335542	0	0	0	0.271	0.05004922238672855	1.066853949669438
X3096.PBK.0029	0	0.007128948921484155	0.007603951309337748	0.03912305475855133	0	0.15236491719636977	0	0.0018777366324707148	0.003984428554693134	0	0.012145782479618198	0.00336644521204034	0	0	0.00739157728239854	0.25042906781221347	0.0920574986225456	0.0002	0.4223454485837865	0	0	0	0	0.5454208011982383	0.8386342820633086
X3096.PBK.0032	0	0	0.016788669767451254	0.016171378738220735	0	0.10208903195412501	0	0.02053919431667499	0	0	0	0.02107215030020813	0.0040490552928821805	0	0.011449479054359854	0.22497563240748072	0.10575363932620363	0	0.4740135634885413	0	0	0.00309820535385217	0	0.49324574532027055	0.8723973509979462
X3096.PBK.0033	0	0	0.009985582389670839	0.021501539177264967	0	0.11170953454775105	0	0.005562179224844781	0.015871471445551153	0	0	0.029830453145776068	0.01117225801120805	0	0	0.285918266109027	0.07575548009482692	0.013734357030436182	0.4183618982967029	0	0	0.0006	0.007	0.287548615240904	0.9865307391829603
X3096.PBK.0034	0.004676986487988524	0	0.01756505731946893	0.06821351979621396	0	0.1367638122892407	0	0.008591434101031388	0.014829756503642834	0	0.019343101248130906	0.012722006193254462	0.040469754538854076	0	0.018953502620388186	0.37903976749826634	0	0	0.27800413950191877	0	0	0.0008	0.008	0.2795898597114184	0.9758910694828766
X3096.PBK.0035	0	0.006678650303976523	0.0004	0	0	0.1769265737638972	0	0	0.016887280230952244	0	0	0.041659113281600484	0.016292804038165812	0	0.0006	0.17651824405302385	0.17810321941033377	0.01899716929793113	0.3670179993273212	0	0	0	0.019	0.23396006812795508	1.0034244164575417
X3096.PBK.0039	0.043273458431030976	0	0	0.07640769884538773	0	0.16404994939287318	0	0.03820788297080711	0.065261629712081	0	0	0	0.007991334785301445	0	0	0.18309274587536029	0.23286578644465913	0.03666260925943887	0.1442674358158098	0	0	0.007919468467250508	0.079	0.12930646004961582	1.0283238411628224
X3096.PBK.0041	0	0.003937611381745316	0.010982625586549966	0.025809289965671705	0	0.11536637909883864	0	0.009306033848228696	0.01165641196252359	0	0.00831197902521004	0.017530095426118397	0.041983107328900655	0	0.01011950251321148	0.5270801556326205	0	0	0.20831537058156835	0	0	0.009601437648812843	0.003	0.3862388418656361	0.9275367926615725
X3096.PBK.0043	0.003237404190029507	0	0.0009	0	0.03473282534553155	0.08472476461801147	0	0.026185884038641756	0.04858059337067101	0	0	0.02563451240034976	0.03258645084003512	0	0.0151916409549169	0.2778688878868382	0.09534165802783306	0	0.35354873328446407	0	0	0.001488152563471053	0.006	0.2961093343828698	0.972602299499764
X3096.PBK.0122	0.0040007862515335215	0	0.0003	0.05609798271868097	0	0.08463535454106337	0	0.003462035907916284	0.011335583239780934	0	0	0.02040276230616325	0.015890271585117	0	0.013047236218400976	0.427888510099614	0.015775359887625476	0	0.3469162184007067	0	0	0.0002	0	0.4838313338160824	0.8754583694997012
X3096.PBK.0123	0.001319711125454351	0.017034125992363165	0.017427174456823992	0.05263094746663051	0	0.08208141753582165	0	0.004148130148502584	0.013828606688445755	0	0	0.06571328652536033	0.0257780880646696	0	0.005972699841447023	0.3506507959284197	0.08512883015661538	0	0.27828618606944594	0	0	0	0.001	0.41196835922893366	0.9119032050620681
