Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
X3096.PBK.0033	0	0.004735344765419569	0	0.0036345461979350627	0	0.06488178412647508	0	0.026650302268266993	0	0	0	0.039246767208151664	0	0	0	0.3295285474050709	0.06976687246786471	0.011669512908762317	0.4498863226520537	0	0	0	0.014	0.2769779510959535	1.0014783685262099
X3096.PBK.0034	0.0001	0.008400112041251902	0.011860730996599548	0.05501115264823749	0	0.08604901454909593	0	0.012279943631785178	0.022977272878978782	0	0.013969642840081254	0.028152763852402875	0.022618578015060613	0	0.014311949738444657	0.3967344565705053	0.0027648893984574792	0	0.304018246402388	0	0	0.020757679073613554	0.015	0.26391555598251587	0.9867626331993505
X3096.PBK.0035	0	0	0.0024204878500076426	0	0.03285775580890444	0.19185431776675427	0	0.008161368980851489	0.024504677250647047	0	0.0390314412974262	0	0.032549558497865526	0.010642859525736056	0.012844551342914644	0.14031482511951796	0.17356582817584162	0	0.3312346437291119	0	0	0	0.025	0.2279989366821461	1.0000484318012035
X3096.PBK.0039	0.01827998810105486	0	0.007068776903011607	0.061604265256565115	0	0.24055011443832275	0	0.026204596721643887	0.03182942142886968	0	0	0	0.024160139808792086	0	0	0.2009134604250796	0.16345191200272574	0.04910656862384038	0.1768307562900943	0	0	0	0.078	0.1300999948647068	1.0291159104971923
X3096.PBK.0041	0	0.003367225672169116	0.005143170575961394	0.01586762375117345	0	0.08822247918642245	0	0.0010805032884920194	0.0069462931212597055	0	0.024364705821488322	0.0064922481621287114	0.034506145780661183	0	0.009244016170397582	0.5620160726473109	0.0002	0	0.23711502219957806	0	0	0.005433215881372702	0.003	0.38521324955756975	0.9314938205200832
X3096.PBK.0043	0.002359005327114921	0.003680563318445838	0.001152640003553965	0	0.06009365953123517	0.12210469425459174	0	0.03627605256627508	0.03525971224214963	0	0	0.03612975486888934	0.02289465988307486	0	0.013189040681925758	0.2467227316175178	0.12740713509154655	0	0.29247073252383393	0	0	0.0003	0.014	0.27217375323855025	0.9770812336126272
X3096.PBK.0122	0.0003	0.0024322117429618744	0	0.02048170376294232	0	0.10684155611226545	0	0.006234119881096416	0.001802231060116263	0	0	0.05636770729405238	0.0467368631816923	0	0.004352349847903753	0.43223512341330955	0.03647479591134348	0	0.28573384290329323	0	0	0	0.002	0.45218849934653804	0.892411931940159
X3096.PBK.0123	0	0.009035040566920683	0.006078094362781773	0.07957756467511641	0	0.08877395300344787	0	0	0.005644210460050561	0	0	0.05778391950591238	0.041678942615006716	0	0.0005	0.3219552895930546	0.13393139695309333	0	0.2550431142168346	0	0	0	0.002	0.39050013550305546	0.9221204883496115
ENCFF722QGY	0	0.025347269660129287	0	0	0.09740069119831359	0.4689279591774078	0	0	0.0376714717323752	0	0.09766429428947038	0	0	0.07809031266372629	0.003512762340489327	0	0	0.0052160060535969876	0.18470169672218853	0	0.0014675361623025516	0	0.85	-0.022	1.1383037807213718
ENCFF044EJX	0.08998415289938409	0	0.03948908869778656	0	0.035673523750744215	0.1602637880565646	0	0.24493495656858924	0	0	0	0.09265983988791782	0.0038247159224568013	0	0.03550323178233544	0	0	0.17643409024416074	0	0.12123261219006048	0	0	0.894	-0.0286	1.1170329439736757
ENCFF052HXO	0.03652510646982667	0	0.008056704135593487	0	0.15052989710476258	0.22501389640145383	0	0	0	0	0	0.04748401643231728	0.0017839400794800121	0.12787323349170335	0	0	0	0.016681902974296527	0	0.3860513029105663	0	0	0.13	0.09703806510543259	1.0950041302380102
ENCFF063XVI	0	0	0.009602686662610082	0	0.14234661144644503	0.16679901577905945	0	0.024548763833870123	0	0	0	0.06064868363427085	0	0.1543649483929266	0	0	0	0.055276403882526165	0	0.3745821222030127	0	0.011830764165279041	0.134	0.09499869820324787	1.093059784021764
ENCFF372VME	0	0	0	0	0.2178470653177683	0.19589679593936649	0	0	0	0	0.0007	0.029377061438511303	0	0.09169365620509703	0	0	0	0.05440955555045472	0	0.41007062466250693	0	0	0.133	0.09534773908427396	1.1043601062541413
ENCFF108ERJ	0.06732906567062495	0	0.01134486672083156	0	0.15405541619386814	0.08849390825983507	0	0.030262885920471484	0	0	0.04821020677652689	0	0	0.15704044195663172	0	0	0	0.07669337401382058	0	0.3665698344873896	0	0	0.148	0.08946056958511452	1.0880721500635817
ENCFF699KSV	0.03615208908547988	0	0.023939345482489008	0	0.15358097987592984	0.2967456195347991	0	0	0	0	0.07599826181802469	0.011503598729669592	0.039523749845242095	0.0974919754723874	0	0	0	0.006848433551170034	0	0.25821594660480834	0	0	0.225	0.0610978493894408	1.0867268231107583
ENCFF376ZWZ	0.04125469074359884	0	0.024763827835763	0	0.20143156534099793	0.1275415747438828	0	0.0024413875645963715	0	0	0	0.04930233826199557	0	0.12542520134022273	0	0	0	0.03319834544458451	0	0.3946410687243582	0	0	0.332	0.036871712216726416	1.1230937460489774
ENCFF886ZLO	0.01558012955815478	0	0.009170060992296879	0	0.19839250445601644	0.1506190592410721	0	0	0	0	0	0.040636643659318586	0	0.13229202553471334	0	0	0	0.05539275204158496	0	0.3979168245168429	0	0	0.358	0.03235222562971997	1.1298553571338497
ENCFF111SEX	0.06517253649826925	0	0.1072287019348758	0	0.08272974304165594	0.2419256989429503	0	0.11291485657907804	0	0	0.005001011950987907	0.1835735127844971	0	0	0	0.04151059158376017	0	0.010546612272226627	0.14627094419846384	0	0.0031257902132350106	0	0.991	-0.0488	1.1365767339316908
